# waiting_times,queue_lengths
1.998194414123872775e-01,0.000000000000000000e+00
1.720572250935617831e+00,1.000000000000000000e+00
2.956382142176380512e+00,1.000000000000000000e+00
5.431574070702481549e+00,2.000000000000000000e+00
7.472302047660889457e+00,2.000000000000000000e+00
8.003003272449802807e+00,3.000000000000000000e+00
7.431455489905374634e+00,3.000000000000000000e+00
7.095861308553935487e+00,4.000000000000000000e+00
6.261582686803933484e+00,5.000000000000000000e+00
6.209761518662332946e+00,6.000000000000000000e+00
6.315642730924480475e+00,7.000000000000000000e+00
5.767732489120362516e+00,7.000000000000000000e+00
6.057733598145489395e+00,8.000000000000000000e+00
5.758998200241137511e+00,9.000000000000000000e+00
6.079889242615877265e+00,1.000000000000000000e+01
7.201094438312111379e+00,1.000000000000000000e+01
5.951341176643836661e+00,6.000000000000000000e+00
1.743567484581660665e+00,2.000000000000000000e+00
2.701713093897524232e-01,0.000000000000000000e+00
3.142844472927606603e+00,0.000000000000000000e+00
2.924742290791868982e+00,1.000000000000000000e+00
2.606609443237800861e+00,2.000000000000000000e+00
2.115263297843227974e+00,3.000000000000000000e+00
2.122467867553041287e+00,4.000000000000000000e+00
3.520162681773911117e+00,5.000000000000000000e+00
3.868119669316513409e+00,4.000000000000000000e+00
2.714083894217992565e+00,2.000000000000000000e+00
3.329530187756688520e+00,2.000000000000000000e+00
3.239508739046584651e+00,2.000000000000000000e+00
2.658317613744486607e+00,2.000000000000000000e+00
2.560198148845984178e+00,2.000000000000000000e+00
